Firma_ID,Kullandıkları_Paket,Kayıt_Tarihi,Aylık_İçerik_Sayısı,Aylık_Gelir_TL,Churn_Durumu,Müşteri_Memnuniyeti_Skoru,Tahmini_API_Maliyeti_TL,Brüt_Kar_TL
CF-1039,Başlangıç,2024-12-07,33,650,0,8,115.5,534.5
CF-1040,Sınırsız,2024-06-01,84,4500,0,1,294.0,4206.0
CF-1041,Başlangıç,2024-05-18,94,650,0,5,329.0,321.0
CF-1042,Başlangıç,2025-03-24,63,650,0,3,220.5,429.5
CF-1043,Profesyonel,2024-03-30,30,1500,0,1,105.0,1395.0
CF-1044,Profesyonel,2025-02-04,80,1500,0,9,280.0,1220.0
CF-1045,Profesyonel,2025-05-19,92,1500,0,3,322.0,1178.0
CF-1046,Başlangıç,2025-03-10,39,650,0,2,136.5,513.5
CF-1047,Sınırsız,2025-07-05,26,4500,0,4,91.0,4409.0
CF-1048,Sınırsız,2024-10-04,2,4500,0,7,7.0,4493.0
CF-1049,Başlangıç,2025-11-12,73,650,0,2,255.5,394.5
CF-1050,Başlangıç,2025-08-01,68,650,0,3,238.0,412.0
CF-1051,Başlangıç,2025-07-09,5,650,0,2,17.5,632.5
CF-1052,Profesyonel,2024-12-20,23,1500,1,7,80.5,1419.5
CF-1053,Başlangıç,2024-01-05,9,650,1,6,31.5,618.5
CF-1054,Başlangıç,2024-12-03,63,650,1,7,220.5,429.5
CF-1055,Profesyonel,2024-04-18,12,1500,0,8,42.0,1458.0
CF-1056,Başlangıç,2025-08-10,18,650,0,5,63.0,587.0
CF-1057,Başlangıç,2024-01-08,68,650,0,3,238.0,412.0
CF-1058,Başlangıç,2024-01-21,15,650,0,1,52.5,597.5
CF-1059,Profesyonel,2025-05-30,24,1500,0,7,84.0,1416.0
CF-1060,Başlangıç,2025-02-06,90,650,0,6,315.0,335.0
CF-1061,Başlangıç,2025-01-21,81,650,0,8,283.5,366.5
CF-1062,Başlangıç,2024-05-29,81,650,1,3,283.5,366.5
CF-1063,Başlangıç,2025-06-19,33,650,1,2,115.5,534.5
CF-1064,Profesyonel,2024-04-15,53,1500,0,9,185.5,1314.5
CF-1065,Başlangıç,2025-02-23,38,650,0,4,133.0,517.0
CF-1066,Başlangıç,2024-07-06,86,650,0,9,301.0,349.0
CF-1067,Sınırsız,2024-09-20,11,4500,0,4,38.5,4461.5
CF-1068,Başlangıç,2024-03-21,86,650,0,5,301.0,349.0
CF-1069,Sınırsız,2024-10-11,89,4500,0,6,311.5,4188.5
CF-1070,Profesyonel,2024-06-08,22,1500,0,7,77.0,1423.0
CF-1071,Başlangıç,2024-12-23,59,650,1,9,206.5,443.5
CF-1072,Başlangıç,2025-01-23,25,650,0,3,87.5,562.5
CF-1073,Profesyonel,2025-12-04,79,1500,0,7,276.5,1223.5
CF-1074,Profesyonel,2025-11-19,57,1500,0,9,199.5,1300.5
CF-1075,Profesyonel,2024-09-20,81,1500,1,3,283.5,1216.5
CF-1076,Sınırsız,2025-02-01,79,4500,1,4,276.5,4223.5
CF-1077,Profesyonel,2024-03-12,77,1500,0,7,269.5,1230.5
CF-1078,Başlangıç,2024-10-03,15,650,0,9,52.5,597.5
CF-1079,Başlangıç,2024-08-22,74,650,1,7,259.0,391.0
CF-1080,Başlangıç,2025-08-02,85,650,0,2,297.5,352.5
CF-1081,Profesyonel,2024-11-13,56,1500,0,3,196.0,1304.0
CF-1082,Başlangıç,2025-06-21,65,650,0,8,227.5,422.5
CF-1083,Başlangıç,2024-05-30,99,650,0,8,346.5,303.5
CF-1084,Profesyonel,2024-01-11,74,1500,0,2,259.0,1241.0
CF-1085,Profesyonel,2024-01-19,64,1500,0,3,224.0,1276.0
CF-1086,Profesyonel,2024-10-27,9,1500,1,5,31.5,1468.5
CF-1087,Sınırsız,2025-05-10,87,4500,0,8,304.5,4195.5
CF-1088,Başlangıç,2025-01-16,71,650,0,6,248.5,401.5
CF-1089,Başlangıç,2024-02-11,48,650,1,3,168.0,482.0
CF-1090,Başlangıç,2025-12-30,46,650,0,8,161.0,489.0
CF-1091,Başlangıç,2024-06-11,13,650,1,5,45.5,604.5
CF-1092,Sınırsız,2025-08-05,61,4500,0,8,213.5,4286.5
CF-1093,Sınırsız,2024-04-20,82,4500,0,3,287.0,4213.0
CF-1094,Sınırsız,2025-12-14,2,4500,0,7,7.0,4493.0
CF-1095,Profesyonel,2025-11-26,58,1500,1,8,203.0,1297.0
CF-1096,Başlangıç,2025-07-19,77,650,0,3,269.5,380.5
CF-1097,Sınırsız,2025-02-19,28,4500,0,4,98.0,4402.0
CF-1098,Başlangıç,2024-08-29,47,650,0,3,164.5,485.5
CF-1099,Başlangıç,2025-06-04,42,650,1,9,147.0,503.0
CF-1100,Başlangıç,2025-09-01,96,650,1,8,336.0,314.0
CF-1101,Başlangıç,2024-06-27,60,650,0,8,210.0,440.0
CF-1102,Başlangıç,2024-07-27,44,650,0,2,154.0,496.0
CF-1103,Başlangıç,2025-12-25,47,650,0,8,164.5,485.5
CF-1104,Başlangıç,2025-06-17,66,650,1,6,231.0,419.0
CF-1105,Başlangıç,2025-11-17,11,650,0,6,38.5,611.5
CF-1106,Profesyonel,2024-03-16,17,1500,0,5,59.5,1440.5
CF-1107,Başlangıç,2025-02-08,28,650,0,2,98.0,552.0
CF-1108,Profesyonel,2025-02-16,94,1500,0,4,329.0,1171.0
CF-1109,Başlangıç,2024-05-06,15,650,1,4,52.5,597.5
CF-1110,Başlangıç,2025-09-08,9,650,1,2,31.5,618.5
CF-1111,Başlangıç,2024-11-14,65,650,0,6,227.5,422.5
CF-1112,Profesyonel,2024-05-22,55,1500,0,1,192.5,1307.5
CF-1113,Sınırsız,2024-06-10,94,4500,0,1,329.0,4171.0
CF-1114,Başlangıç,2025-11-17,39,650,1,8,136.5,513.5
CF-1115,Sınırsız,2024-08-10,38,4500,0,2,133.0,4367.0
CF-1116,Profesyonel,2024-02-14,39,1500,0,2,136.5,1363.5
CF-1117,Profesyonel,2024-08-08,89,1500,0,7,311.5,1188.5
CF-1118,Başlangıç,2024-03-21,32,650,1,5,112.0,538.0
CF-1119,Profesyonel,2024-12-19,51,1500,0,6,178.5,1321.5
CF-1120,Sınırsız,2025-05-21,85,4500,0,4,297.5,4202.5
CF-1121,Profesyonel,2025-08-13,48,1500,1,7,168.0,1332.0
CF-1122,Başlangıç,2025-06-10,20,650,0,6,70.0,580.0
CF-1123,Başlangıç,2025-01-14,14,650,1,3,49.0,601.0
CF-1124,Profesyonel,2024-10-11,99,1500,1,2,346.5,1153.5
CF-1125,Başlangıç,2024-09-11,57,650,0,1,199.5,450.5
CF-1126,Başlangıç,2025-12-03,88,650,0,2,308.0,342.0
CF-1127,Başlangıç,2024-03-04,91,650,0,9,318.5,331.5
CF-1128,Başlangıç,2025-03-24,77,650,0,8,269.5,380.5
CF-1129,Başlangıç,2024-05-18,93,650,0,2,325.5,324.5
CF-1130,Başlangıç,2025-11-18,44,650,0,9,154.0,496.0
CF-1131,Başlangıç,2024-04-20,41,650,0,8,143.5,506.5
CF-1132,Profesyonel,2024-04-12,87,1500,0,7,304.5,1195.5
CF-1133,Başlangıç,2024-10-28,81,650,0,6,283.5,366.5
CF-1134,Başlangıç,2024-01-04,72,650,0,3,252.0,398.0
CF-1135,Profesyonel,2025-01-01,12,1500,0,4,42.0,1458.0
CF-1136,Başlangıç,2025-02-24,51,650,1,7,178.5,471.5
CF-1137,Başlangıç,2025-10-12,23,650,0,1,80.5,569.5
CF-1138,Profesyonel,2025-04-08,60,1500,0,4,210.0,1290.0
CF-1139,Başlangıç,2025-12-28,28,650,0,8,98.0,552.0
CF-1140,Profesyonel,2025-05-30,45,1500,1,1,157.5,1342.5
CF-1141,Profesyonel,2025-12-08,89,1500,0,9,311.5,1188.5
CF-1142,Başlangıç,2025-03-05,7,650,1,4,24.5,625.5
CF-1143,Başlangıç,2025-05-14,99,650,0,4,346.5,303.5
CF-1144,Profesyonel,2024-02-02,65,1500,0,4,227.5,1272.5
CF-1145,Profesyonel,2025-01-06,26,1500,0,4,91.0,1409.0
CF-1146,Sınırsız,2025-07-27,8,4500,0,1,28.0,4472.0
CF-1147,Başlangıç,2025-11-25,36,650,1,1,126.0,524.0
CF-1148,Profesyonel,2024-11-08,36,1500,0,9,126.0,1374.0
CF-1149,Başlangıç,2024-03-31,4,650,1,3,14.0,636.0
CF-1150,Sınırsız,2024-03-27,8,4500,0,9,28.0,4472.0
CF-1151,Başlangıç,2025-06-07,41,650,0,1,143.5,506.5
CF-1152,Başlangıç,2025-10-08,55,650,0,6,192.5,457.5
CF-1153,Başlangıç,2025-12-12,88,650,0,3,308.0,342.0
CF-1154,Başlangıç,2024-08-26,12,650,0,4,42.0,608.0
CF-1155,Sınırsız,2025-03-10,43,4500,0,7,150.5,4349.5
CF-1156,Başlangıç,2025-03-17,9,650,1,3,31.5,618.5
CF-1157,Başlangıç,2025-02-17,63,650,0,8,220.5,429.5
CF-1158,Profesyonel,2024-05-17,66,1500,0,2,231.0,1269.0
CF-1159,Sınırsız,2024-10-24,53,4500,0,5,185.5,4314.5
CF-1160,Profesyonel,2024-08-01,21,1500,0,5,73.5,1426.5
CF-1161,Profesyonel,2024-08-16,1,1500,0,1,3.5,1496.5
CF-1162,Başlangıç,2024-06-29,23,650,0,8,80.5,569.5
CF-1163,Başlangıç,2025-06-13,40,650,0,3,140.0,510.0
CF-1164,Sınırsız,2024-05-24,65,4500,0,4,227.5,4272.5
CF-1165,Sınırsız,2025-12-17,61,4500,0,7,213.5,4286.5
CF-1166,Başlangıç,2025-10-10,89,650,0,8,311.5,338.5
CF-1167,Başlangıç,2025-08-05,83,650,0,9,290.5,359.5
CF-1168,Profesyonel,2025-02-06,65,1500,0,3,227.5,1272.5
CF-1169,Başlangıç,2025-05-10,89,650,0,7,311.5,338.5
CF-1170,Sınırsız,2024-06-18,57,4500,0,9,199.5,4300.5
CF-1171,Sınırsız,2025-11-28,53,4500,1,7,185.5,4314.5
CF-1172,Başlangıç,2024-01-08,96,650,0,3,336.0,314.0
CF-1173,Başlangıç,2025-02-23,15,650,0,3,52.5,597.5
CF-1174,Profesyonel,2025-12-22,39,1500,0,1,136.5,1363.5
CF-1175,Profesyonel,2025-07-12,37,1500,0,3,129.5,1370.5
CF-1176,Profesyonel,2024-04-24,40,1500,0,8,140.0,1360.0
CF-1177,Başlangıç,2024-12-01,88,650,0,6,308.0,342.0
CF-1178,Başlangıç,2024-02-23,38,650,1,4,133.0,517.0
CF-1179,Başlangıç,2024-04-17,29,650,0,4,101.5,548.5
CF-1180,Profesyonel,2024-06-14,16,1500,1,6,56.0,1444.0
CF-1181,Başlangıç,2024-02-10,48,650,0,2,168.0,482.0
CF-1182,Başlangıç,2024-05-09,32,650,0,3,112.0,538.0
CF-1183,Sınırsız,2025-05-21,84,4500,0,9,294.0,4206.0
CF-1184,Profesyonel,2024-10-27,96,1500,1,6,336.0,1164.0
CF-1185,Başlangıç,2025-09-24,90,650,0,5,315.0,335.0
CF-1186,Profesyonel,2024-02-05,77,1500,0,5,269.5,1230.5
CF-1187,Başlangıç,2024-11-26,31,650,0,8,108.5,541.5
CF-1188,Sınırsız,2024-11-12,87,4500,1,1,304.5,4195.5
CF-1189,Başlangıç,2024-08-29,10,650,0,4,35.0,615.0
CF-1190,Profesyonel,2024-03-03,77,1500,0,5,269.5,1230.5
CF-1191,Profesyonel,2025-12-18,68,1500,1,6,238.0,1262.0
CF-1192,Başlangıç,2024-12-24,8,650,0,2,28.0,622.0
CF-1193,Profesyonel,2025-10-08,77,1500,0,6,269.5,1230.5
CF-1194,Sınırsız,2025-11-28,17,4500,0,8,59.5,4440.5
CF-1195,Profesyonel,2025-08-05,81,1500,1,4,283.5,1216.5
CF-1196,Başlangıç,2024-09-25,13,650,0,3,45.5,604.5
CF-1197,Başlangıç,2024-09-03,44,650,0,1,154.0,496.0
CF-1198,Profesyonel,2024-04-24,57,1500,0,6,199.5,1300.5
CF-1199,Başlangıç,2024-04-20,53,650,0,4,185.5,464.5
CF-1200,Sınırsız,2025-12-27,40,4500,0,9,140.0,4360.0
CF-1201,Profesyonel,2025-05-08,82,1500,0,8,287.0,1213.0
CF-1202,Başlangıç,2024-05-31,3,650,0,2,10.5,639.5
CF-1203,Sınırsız,2024-01-02,58,4500,0,5,203.0,4297.0
CF-1204,Profesyonel,2025-08-11,70,1500,0,9,245.0,1255.0
CF-1205,Profesyonel,2025-10-09,56,1500,0,5,196.0,1304.0
CF-1206,Profesyonel,2025-03-31,24,1500,1,3,84.0,1416.0
CF-1207,Başlangıç,2024-04-26,60,650,0,5,210.0,440.0
CF-1208,Profesyonel,2025-03-30,18,1500,0,8,63.0,1437.0
CF-1209,Başlangıç,2024-04-08,79,650,0,4,276.5,373.5
CF-1210,Başlangıç,2025-08-13,9,650,1,3,31.5,618.5
CF-1211,Başlangıç,2025-03-11,68,650,0,8,238.0,412.0
CF-1212,Başlangıç,2025-06-13,24,650,0,2,84.0,566.0
CF-1213,Başlangıç,2024-07-01,89,650,0,3,311.5,338.5
CF-1214,Sınırsız,2025-06-27,35,4500,0,6,122.5,4377.5
CF-1215,Profesyonel,2025-09-30,20,1500,0,5,70.0,1430.0
CF-1216,Başlangıç,2025-09-08,86,650,1,1,301.0,349.0
CF-1217,Başlangıç,2025-05-16,62,650,0,6,217.0,433.0
CF-1218,Sınırsız,2025-09-10,15,4500,0,6,52.5,4447.5
CF-1219,Profesyonel,2024-01-10,1,1500,0,7,3.5,1496.5
CF-1220,Başlangıç,2025-05-25,36,650,0,3,126.0,524.0
CF-1221,Sınırsız,2024-02-14,94,4500,0,5,329.0,4171.0
CF-1222,Sınırsız,2025-09-08,96,4500,0,5,336.0,4164.0
CF-1223,Profesyonel,2025-08-09,20,1500,0,2,70.0,1430.0
CF-1224,Sınırsız,2025-11-21,85,4500,0,4,297.5,4202.5
CF-1225,Profesyonel,2025-06-29,6,1500,0,6,21.0,1479.0
CF-1226,Başlangıç,2024-09-06,41,650,0,1,143.5,506.5
CF-1227,Profesyonel,2025-12-03,48,1500,0,9,168.0,1332.0
CF-1228,Sınırsız,2025-08-04,92,4500,0,3,322.0,4178.0
CF-1229,Sınırsız,2025-09-12,27,4500,0,6,94.5,4405.5
CF-1230,Profesyonel,2025-05-17,93,1500,1,3,325.5,1174.5
CF-1231,Profesyonel,2025-09-20,19,1500,1,1,66.5,1433.5
CF-1232,Başlangıç,2024-06-12,99,650,0,3,346.5,303.5
CF-1233,Başlangıç,2025-04-05,94,650,1,7,329.0,321.0
CF-1234,Sınırsız,2024-09-25,55,4500,0,2,192.5,4307.5
CF-1235,Profesyonel,2025-07-31,18,1500,0,7,63.0,1437.0
CF-1236,Başlangıç,2024-03-19,44,650,0,6,154.0,496.0
CF-1237,Profesyonel,2025-01-11,94,1500,0,4,329.0,1171.0
CF-1238,Başlangıç,2025-08-26,6,650,0,4,21.0,629.0
CF-1239,Profesyonel,2025-03-03,4,1500,1,2,14.0,1486.0
CF-1240,Profesyonel,2025-08-18,76,1500,0,5,266.0,1234.0
CF-1241,Sınırsız,2024-08-28,24,4500,0,3,84.0,4416.0
CF-1242,Başlangıç,2024-07-10,50,650,0,6,175.0,475.0
CF-1243,Başlangıç,2024-02-15,36,650,1,6,126.0,524.0
CF-1244,Profesyonel,2025-02-22,15,1500,0,1,52.5,1447.5
CF-1245,Profesyonel,2025-07-27,11,1500,1,9,38.5,1461.5
CF-1246,Profesyonel,2024-12-28,73,1500,0,1,255.5,1244.5
CF-1247,Profesyonel,2024-06-19,81,1500,0,8,283.5,1216.5
CF-1248,Başlangıç,2024-10-21,16,650,0,8,56.0,594.0
CF-1249,Başlangıç,2025-10-27,51,650,0,9,178.5,471.5
CF-1250,Başlangıç,2025-03-06,20,650,0,1,70.0,580.0
CF-1251,Sınırsız,2025-03-01,5,4500,0,5,17.5,4482.5
CF-1252,Sınırsız,2025-03-09,85,4500,0,4,297.5,4202.5
CF-1253,Profesyonel,2024-10-06,34,1500,0,5,119.0,1381.0
CF-1254,Başlangıç,2024-04-17,11,650,0,8,38.5,611.5
CF-1255,Başlangıç,2025-02-22,49,650,0,2,171.5,478.5
CF-1256,Profesyonel,2025-09-10,22,1500,0,4,77.0,1423.0
CF-1257,Profesyonel,2025-05-05,32,1500,0,7,112.0,1388.0
CF-1258,Başlangıç,2024-12-15,50,650,1,1,175.0,475.0
CF-1259,Profesyonel,2025-05-19,71,1500,0,9,248.5,1251.5
CF-1260,Profesyonel,2025-09-30,41,1500,0,2,143.5,1356.5
CF-1261,Başlangıç,2025-08-15,98,650,0,2,343.0,307.0
CF-1262,Profesyonel,2025-02-25,90,1500,0,5,315.0,1185.0
CF-1263,Profesyonel,2024-10-11,55,1500,0,7,192.5,1307.5
CF-1264,Başlangıç,2024-12-27,38,650,1,1,133.0,517.0
CF-1265,Başlangıç,2025-04-20,98,650,0,7,343.0,307.0
CF-1266,Başlangıç,2025-07-29,44,650,0,1,154.0,496.0
CF-1267,Profesyonel,2024-10-15,48,1500,1,4,168.0,1332.0
CF-1268,Başlangıç,2025-02-27,25,650,0,4,87.5,562.5
CF-1269,Profesyonel,2025-06-23,72,1500,0,6,252.0,1248.0
CF-1270,Başlangıç,2024-02-09,59,650,0,7,206.5,443.5
CF-1271,Başlangıç,2025-05-24,37,650,0,9,129.5,520.5
CF-1272,Başlangıç,2025-10-31,74,650,0,2,259.0,391.0
CF-1273,Sınırsız,2025-01-02,48,4500,0,1,168.0,4332.0
CF-1274,Sınırsız,2025-01-12,22,4500,0,6,77.0,4423.0
CF-1275,Başlangıç,2025-11-25,51,650,0,4,178.5,471.5
CF-1276,Profesyonel,2025-05-05,19,1500,0,9,66.5,1433.5
CF-1277,Başlangıç,2024-01-05,79,650,0,9,276.5,373.5
CF-1278,Başlangıç,2025-09-08,58,650,0,9,203.0,447.0
CF-1279,Başlangıç,2024-08-21,39,650,1,2,136.5,513.5
CF-1280,Profesyonel,2024-01-06,82,1500,0,3,287.0,1213.0
CF-1281,Başlangıç,2024-05-21,92,650,1,3,322.0,328.0
CF-1282,Başlangıç,2024-10-15,48,650,0,2,168.0,482.0
CF-1283,Başlangıç,2024-12-05,27,650,0,1,94.5,555.5
CF-1284,Profesyonel,2025-12-02,25,1500,0,2,87.5,1412.5
CF-1285,Profesyonel,2024-11-08,31,1500,0,7,108.5,1391.5
CF-1286,Başlangıç,2025-11-21,92,650,0,9,322.0,328.0
CF-1287,Profesyonel,2024-12-15,13,1500,1,6,45.5,1454.5
CF-1288,Sınırsız,2024-04-16,92,4500,0,7,322.0,4178.0
CF-1289,Başlangıç,2025-08-01,13,650,0,8,45.5,604.5
CF-1290,Başlangıç,2025-07-11,13,650,0,8,45.5,604.5
CF-1291,Başlangıç,2024-01-01,44,650,0,9,154.0,496.0
CF-1292,Başlangıç,2025-05-31,65,650,0,8,227.5,422.5
CF-1293,Profesyonel,2025-08-03,3,1500,0,4,10.5,1489.5
CF-1294,Başlangıç,2024-02-25,18,650,0,3,63.0,587.0
CF-1295,Başlangıç,2024-11-11,8,650,0,8,28.0,622.0
CF-1296,Profesyonel,2025-10-23,94,1500,1,8,329.0,1171.0
CF-1297,Profesyonel,2025-10-05,74,1500,1,2,259.0,1241.0
CF-1298,Profesyonel,2024-02-06,55,1500,0,6,192.5,1307.5
CF-1299,Profesyonel,2025-04-07,1,1500,0,3,3.5,1496.5
CF-1300,Başlangıç,2024-03-02,91,650,0,1,318.5,331.5
CF-1301,Başlangıç,2025-08-26,9,650,0,4,31.5,618.5
CF-1302,Başlangıç,2024-09-15,18,650,0,4,63.0,587.0
CF-1303,Başlangıç,2025-07-02,5,650,1,9,17.5,632.5
CF-1304,Başlangıç,2024-12-09,9,650,0,7,31.5,618.5
CF-1305,Profesyonel,2024-05-12,54,1500,0,1,189.0,1311.0
CF-1306,Profesyonel,2024-03-21,53,1500,0,4,185.5,1314.5
CF-1307,Başlangıç,2024-03-01,25,650,0,3,87.5,562.5
CF-1308,Profesyonel,2024-09-23,62,1500,1,6,217.0,1283.0
CF-1309,Başlangıç,2024-03-06,3,650,0,4,10.5,639.5
CF-1310,Başlangıç,2024-11-09,90,650,0,6,315.0,335.0
CF-1311,Sınırsız,2024-01-31,75,4500,0,7,262.5,4237.5
CF-1312,Başlangıç,2024-12-03,16,650,0,7,56.0,594.0
CF-1313,Profesyonel,2025-12-22,3,1500,0,7,10.5,1489.5
CF-1314,Profesyonel,2025-06-02,42,1500,0,6,147.0,1353.0
CF-1315,Başlangıç,2025-08-22,41,650,1,5,143.5,506.5
CF-1316,Profesyonel,2024-10-01,48,1500,1,1,168.0,1332.0
CF-1317,Başlangıç,2025-11-12,14,650,0,5,49.0,601.0
CF-1318,Sınırsız,2025-02-26,12,4500,0,4,42.0,4458.0
CF-1319,Başlangıç,2024-05-28,71,650,0,5,248.5,401.5
CF-1320,Başlangıç,2024-03-23,97,650,1,6,339.5,310.5
CF-1321,Profesyonel,2024-10-25,19,1500,0,1,66.5,1433.5
CF-1322,Başlangıç,2024-01-14,49,650,1,8,171.5,478.5
CF-1323,Başlangıç,2024-05-24,34,650,0,5,119.0,531.0
CF-1324,Başlangıç,2025-05-13,96,650,0,2,336.0,314.0
CF-1325,Başlangıç,2024-08-23,38,650,0,8,133.0,517.0
CF-1326,Sınırsız,2025-09-13,24,4500,0,3,84.0,4416.0
CF-1327,Sınırsız,2025-04-20,88,4500,1,4,308.0,4192.0
CF-1328,Profesyonel,2025-08-06,23,1500,0,7,80.5,1419.5
CF-1329,Profesyonel,2024-12-04,39,1500,0,5,136.5,1363.5
CF-1330,Sınırsız,2024-06-12,88,4500,0,8,308.0,4192.0
CF-1331,Profesyonel,2024-01-17,11,1500,0,7,38.5,1461.5
CF-1332,Sınırsız,2024-10-14,7,4500,0,5,24.5,4475.5
CF-1333,Başlangıç,2024-02-04,80,650,0,9,280.0,370.0
CF-1334,Profesyonel,2024-11-14,4,1500,1,9,14.0,1486.0
CF-1335,Başlangıç,2024-11-23,50,650,0,1,175.0,475.0
CF-1336,Başlangıç,2024-11-18,87,650,1,7,304.5,345.5
CF-1337,Profesyonel,2025-03-14,52,1500,0,9,182.0,1318.0
CF-1338,Başlangıç,2025-02-02,37,650,0,7,129.5,520.5
CF-1339,Başlangıç,2024-02-27,46,650,0,7,161.0,489.0
CF-1340,Başlangıç,2024-10-10,83,650,1,3,290.5,359.5
CF-1341,Başlangıç,2024-10-04,92,650,0,3,322.0,328.0
CF-1342,Profesyonel,2025-05-10,82,1500,1,9,287.0,1213.0
CF-1343,Başlangıç,2025-01-28,81,650,0,9,283.5,366.5
CF-1344,Sınırsız,2025-03-10,22,4500,0,4,77.0,4423.0
CF-1345,Sınırsız,2024-04-29,89,4500,0,2,311.5,4188.5
CF-1346,Başlangıç,2025-01-18,67,650,0,4,234.5,415.5
CF-1347,Başlangıç,2024-10-08,12,650,0,9,42.0,608.0
CF-1348,Başlangıç,2025-04-28,27,650,0,8,94.5,555.5
CF-1349,Sınırsız,2025-11-23,38,4500,0,3,133.0,4367.0
CF-1350,Başlangıç,2024-03-07,91,650,1,2,318.5,331.5
CF-1351,Profesyonel,2024-09-11,11,1500,0,8,38.5,1461.5
CF-1352,Başlangıç,2024-04-10,33,650,1,3,115.5,534.5
CF-1353,Başlangıç,2025-03-01,42,650,0,8,147.0,503.0
CF-1354,Başlangıç,2025-09-12,49,650,0,7,171.5,478.5
CF-1355,Profesyonel,2024-12-01,8,1500,0,9,28.0,1472.0
CF-1356,Profesyonel,2024-04-14,80,1500,0,2,280.0,1220.0
CF-1357,Başlangıç,2024-03-19,10,650,0,5,35.0,615.0
CF-1358,Profesyonel,2025-08-21,3,1500,0,3,10.5,1489.5
CF-1359,Sınırsız,2025-06-14,57,4500,1,9,199.5,4300.5
CF-1360,Sınırsız,2024-08-08,24,4500,0,1,84.0,4416.0
CF-1361,Başlangıç,2024-08-21,15,650,0,8,52.5,597.5
CF-1362,Profesyonel,2024-09-04,24,1500,0,8,84.0,1416.0
CF-1363,Profesyonel,2024-06-26,17,1500,1,1,59.5,1440.5
CF-1364,Başlangıç,2025-08-16,62,650,0,1,217.0,433.0
CF-1365,Başlangıç,2024-04-16,24,650,0,2,84.0,566.0
CF-1366,Başlangıç,2025-03-19,65,650,0,5,227.5,422.5
CF-1367,Profesyonel,2025-07-12,40,1500,0,8,140.0,1360.0
CF-1368,Profesyonel,2025-12-08,88,1500,0,9,308.0,1192.0
CF-1369,Sınırsız,2024-02-20,16,4500,1,5,56.0,4444.0
CF-1370,Başlangıç,2025-09-17,52,650,0,5,182.0,468.0
CF-1371,Başlangıç,2025-05-04,6,650,0,7,21.0,629.0
